primary_county,credentials,credentials-other,license,volunteer_county
"	Onslow",,,Active,"	Onslow"
"	Wake",RN,,Active,"	Wake"
"	Beaufort",RN,,Active,"	Beaufort,	Carteret,	Craven,	Martin,	Pitt,	Wake"
"	Wake",NP,,Active,"	Wake"
"	Granville",RN,,Active,"	Durham,	Granville,	Wake"
"	Wake",LPN,,Active,"	Wake"
"	Onslow","Other, please specify:","RN, FNP",Active,"	Carteret,	Craven,	Duplin,	Jones,	Lenoir,	Onslow"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Iredell,	Lincoln,	Mecklenburg,	Rowan"
"	Macon",RN,,Active,"	Jackson,	Macon"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Wake","Other, please specify:",CRNA ,Active,"	Burke,	Chatham,	Durham,	Lee,	Moore,	Orange,	Wake"
"	Durham","Other, please specify:",Crna,Active,"	Chatham,	Durham,	Orange"
"	Wake",Retired,,,"	Durham,	Franklin,	Orange,	Person,	Wake"
"	Wilkes",RN,,Active,"	Alexander,	Caldwell,	Wilkes"
"	Person",Retired,,Active,"	Caswell,	Granville,	Person"
"	Forsyth",RN,,Active,"	Forsyth,	Surry"
"	Wake",RN,,Active,"	Chatham,	Durham,	Orange,	Wake"
"	Surry",RN,,Active,"	Forsyth,	Stokes,	Surry"
"	Johnston",RN,,Active,"	Harnett,	Johnston,	Pender"
"	New Hanover",RN,,Active,"	Bladen,	Brunswick,	New Hanover,	Onslow,	Pender"
"	Pitt",RN,,Active,"	Pitt"
"	Durham",RN,,Active,"	Durham"
"	Mecklenburg",RN,,Active,"	Cabarrus,	Gaston,	Iredell,	Mecklenburg"
"	Chatham",RN,,Active,"	Chatham,	Lee,	Orange,	Wake"
"	Davie",NP,,Active,"	Davie,	Forsyth"
"	Mecklenburg",RN,,Active,"	Mecklenburg"
"	Wake",RN,,Active,"	Catawba,	Durham,	Harnett,	Johnston,	Orange,	Wake"
"	Cabarrus",NP,,Active,"	Cabarrus"
"	Buncombe",NP,,Active,"	Buncombe"
"	Wake",RN,,Active,"	Durham,	Wake"
"	Wake",RN,,Active,"	Orange,	Wake"
"	Wake","Other, please specify:",RN - Missouri license ,Active,"	Durham"
Alamance,NP,,Active,"Alamance,	Chatham,	Durham,	Guilford,	Orange"
"	Cleveland",RN,,Active,"	Cleveland,	Rutherford"
"	Davie",RN,,Active,"	Davie,	Forsyth,	Guilford,	Yadkin"
"	Durham",RN,,Active,"	Durham"
"	Wilson",NP,,Active,"	Nash,	Wilson"
"	Burke",NP,,Active,"	Buncombe,	Burke,	Caldwell,	Catawba,	Cleveland,	Watauga"
"	New Hanover",RN,,Active,"	Bladen,	Brunswick,	Duplin,	New Hanover,	Onslow,	Pender"
"	Catawba",RN,,Active,"	Caldwell,	Catawba"
"	Cleveland",NP,,Active,"	Cleveland,	Gaston"
"	Madison",RN,,Active,"	Madison"
"	Gaston",RN,,Active,"	Gaston,	Mecklenburg"
"	Buncombe",RN,,Active,"	Buncombe"
"	Forsyth",RN,,Active,"	Forsyth"
"	Wake",RN,,Active,"	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Haywood,	Henderson,	Macon,	Mitchell,	Yancey"
"	Guilford",RN,,Active,"Alamance,	Davidson,	Davie,	Forsyth,	Rockingham,	Surry,	Yadkin"
"	New Hanover","Other, please specify:",MSN CRNA,Active,"	Bladen,	Brunswick,	Columbus,	Duplin,	New Hanover,	Pender"
"	Franklin",Retired,,Inactive,"	Franklin,	Granville,	Wake"
Alamance,RN,,Active,"Alamance,	Guilford"
"	Wake",NP,,Active,"	Alleghany,	Wake"
Yancey,RN,,Active,"	Avery,	Buncombe,	McDowell,	Madison,	Mitchell,	Yancey"
"	Lee","Other, please specify:",RN,Active,"	Chatham,	Lee,	Moore"
"	Brunswick",RN,,Active,"	Brunswick,	New Hanover"
"	Iredell","Other, please specify:",NREMT ,Active,"	Iredell"
"	Buncombe",Retired,,Active,"	Buncombe,	Henderson,	Transylvania"
"	Onslow",NP,,Active,"	Jones,	Lenoir"
"	Henderson",RN,,Active,"	Buncombe,	Henderson,	Polk"
"	Iredell",RN,,Active,"	Catawba,	Iredell,	Mecklenburg"
"	Buncombe",NP,,Active,"	Buncombe,	Haywood,	Henderson"
"	Durham",RN,,Active,"	Durham"
Alamance,RN,,Active,"Alamance,	Caswell"
"	Johnston",NP,,Active,"	Johnston"
"	Pender",NP,,Active,"	Halifax,	Onslow,	Pender"
"	Franklin",RN,,Active,"	Durham,	Franklin,	Granville,	Nash,	Pitt,	Vance,	Wake,	Wilson"
"	Cumberland",RN,,Active,"	Cumberland,	Harnett,	Robeson,	Sampson"
"	Brunswick",NP,,Active,"	Brunswick,	New Hanover"
"	Moore",RN,,Active,"Alamance,	Brunswick,	Chatham,	Guilford,	Lee,	Montgomery,	Moore,	Randolph,	Stanly"
"	Iredell",NP,,Active,"	Catawba,	Iredell"
"	New Hanover",NP,,Active,"	New Hanover"
"	Wake",RN,,Active,"	Wake"
"	Union",NP,,Active,"	Mecklenburg,	Union"
"	Catawba",RN,,Active,"	Alexander,	Burke,	Caldwell,	Catawba,	Cleveland,	Iredell,	Lenoir,	Lincoln,	Rutherford"
"	Wake",RN,,Active,"	Wake"
"	Iredell",NP,,Active,"	Iredell"
"	New Hanover","Other, please specify:",CMA,Active,"	Bladen,	Brunswick,	Duplin,	New Hanover,	Onslow,	Pender,	Sampson"
"	Wake",RN,,Active,"	Durham,	Granville,	Orange,	Vance,	Wake"
"	Buncombe",RN,,Active,"	Buncombe,	Henderson"
"	Guilford",RN,,Active,"	Buncombe,	Davie,	Forsyth,	Guilford,	Mecklenburg,	Randolph,	Rockingham,	Stokes"
"	Forsyth",RN,,Active,"	Forsyth"
"	Rowan",RN,,Active,"	Rowan"
